Plot ID,Soil pH,Organic Matter (%),Nitrogen (%),Phosphorus (mg/kg),Potassium (cmol/kg),Calcium (cmol/kg),Magnesium (cmol/kg),Sulfur (mg/kg),Zinc (mg/kg),Iron (mg/kg)
Plot 4,7.08,1.88,0.248,19.2,0.52,11.37,0.86,13.9,1.4,77.5
Plot 4,6.67,3.38,0.231,14.5,0.79,7.48,1.22,12.7,1.26,99.1
Plot 4,5.74,2.77,0.272,15.2,0.61,12.2,1.42,12.3,1.44,67.9
Plot 4,7.23,3.21,0.338,19.9,0.78,6.69,1.96,11.1,1.27,98.8
Plot 4,6.59,2.02,0.28,27.2,0.48,11.2,1.54,13.9,1.28,89.9
Plot 4,6.39,3.7,0.189,20.2,0.6,9.5,1.15,19.9,0.32,104.5
Plot 4,6.62,2.83,0.195,24.4,0.54,12.16,1.39,13.1,1.29,94.6
Plot 4,6.63,1.84,0.342,19.8,0.6,6.86,1.67,14.1,1.13,85.6
Plot 4,6.74,3.78,0.238,12.9,0.6,9.25,1.36,12.8,0.63,97.4
Plot 4,6.58,2.24,0.187,14.5,0.91,11.76,1.3,11.9,1.21,95.3
Plot 4,6.86,2.84,0.286,15.5,0.99,10.85,1.86,7.5,1.81,92.6
Plot 4,6.67,2.44,0.306,16.0,0.37,11.61,1.6,11.0,1.86,103.5
Plot 4,6.37,3.44,0.297,25.8,0.6,9.34,1.8,15.3,2.01,122.5
Plot 4,6.51,2.22,0.194,15.2,0.46,16.17,1.87,4.4,0.56,111.4
Plot 4,5.9,2.87,0.26,21.2,1.0,9.03,1.2,8.4,1.71,116.2
Plot 4,7.86,1.74,0.314,17.7,0.58,9.17,1.37,17.9,1.2,93.3
Plot 4,6.65,2.53,0.379,19.0,1.13,12.99,1.6,11.7,0.7,133.5
Plot 4,6.53,2.49,0.296,17.8,0.84,13.71,1.65,15.4,0.94,84.3
Plot 4,6.74,2.71,0.249,21.7,1.25,14.5,1.9,8.6,1.07,116.6
Plot 4,6.16,2.8,0.237,18.1,0.67,13.56,1.56,15.5,1.21,89.1
Plot 4,6.83,3.11,0.243,28.8,0.74,9.25,1.84,12.4,1.42,77.0
Plot 4,5.93,2.16,0.241,19.2,1.07,10.06,1.55,11.8,1.4,86.2
Plot 4,6.64,3.19,0.18,24.0,0.65,6.87,1.98,18.2,0.87,69.4
Plot 4,6.07,1.58,0.194,27.4,1.08,12.45,1.49,13.5,1.06,79.6
Plot 4,7.43,2.16,0.251,11.2,0.66,5.73,1.55,7.3,1.05,74.0
Plot 4,6.89,2.13,0.223,19.1,1.26,11.67,1.46,18.7,1.3,130.8
Plot 4,6.81,2.09,0.286,15.2,0.84,10.92,1.62,8.3,1.12,111.3
Plot 5,6.75,2.85,0.219,16.8,0.68,8.31,1.52,15.6,1.99,90.1
Plot 5,6.84,1.89,0.183,22.2,0.93,9.6,1.72,14.0,1.5,84.3
Plot 5,6.93,2.28,0.251,14.6,0.6,10.55,1.85,14.1,0.57,128.9
Plot 5,6.78,3.37,0.302,19.8,0.71,15.11,1.65,15.8,1.12,83.4
Plot 5,6.76,2.74,0.186,19.7,0.66,12.26,1.7,5.6,1.79,88.4
Plot 5,6.59,2.15,0.299,22.4,0.69,4.72,1.18,13.5,0.82,99.1
Plot 5,6.53,3.15,0.251,15.7,0.81,9.64,1.34,15.4,1.77,95.4
Plot 5,6.7,1.97,0.18,20.9,0.49,11.78,1.8,9.8,1.57,106.8
Plot 5,6.1,2.8,0.158,19.0,0.72,8.34,1.47,14.4,1.24,99.7
Plot 5,7.04,2.65,0.241,8.6,0.77,11.94,1.83,10.8,1.73,114.4
Plot 5,5.81,2.48,0.172,17.6,0.81,11.7,1.62,10.2,0.82,113.6
Plot 5,7.38,2.27,0.219,15.1,0.85,13.07,1.56,11.5,1.12,115.8
Plot 5,6.11,3.17,0.256,14.6,0.67,15.01,1.6,11.4,1.03,84.7
Plot 5,5.69,3.62,0.287,14.7,0.88,10.04,1.68,12.6,1.13,72.4
Plot 5,5.57,1.42,0.164,14.6,0.86,8.17,1.42,3.2,0.94,147.3
Plot 5,6.03,2.32,0.28,23.6,0.81,4.72,1.43,16.1,1.39,129.7
Plot 5,7.03,3.1,0.18,25.2,0.91,17.81,1.83,10.0,0.68,85.7
Plot 5,6.76,2.18,0.338,20.3,0.67,11.14,2.07,21.4,1.34,104.8
Plot 5,7.07,2.82,0.245,24.6,0.66,6.33,1.46,12.9,1.44,114.9
Plot 5,5.96,2.99,0.267,5.9,0.77,11.26,1.74,14.8,0.96,129.1
Plot 5,6.44,3.69,0.186,7.8,0.76,17.67,1.45,14.3,1.43,86.2
Plot 5,6.34,2.73,0.248,17.6,0.74,8.26,1.34,13.7,1.01,117.4
Plot 5,5.49,2.41,0.263,25.5,1.14,5.74,1.18,14.2,1.21,92.3
Plot 5,6.84,3.47,0.211,21.8,1.24,8.69,2.05,13.2,1.6,113.9
Plot 5,7.57,2.35,0.301,18.0,0.64,10.67,1.74,14.9,0.72,89.0
Plot 5,6.93,3.33,0.301,18.1,1.13,13.79,2.01,13.3,1.47,61.6
Plot 5,6.38,3.25,0.258,27.0,0.86,11.18,1.56,11.5,1.17,100.8
Plot 5,6.26,3.79,0.259,15.8,0.76,7.65,1.22,11.9,0.94,106.1
Plot 5,6.26,2.18,0.259,27.0,0.81,16.18,1.79,11.9,0.84,94.4
Plot 5,6.98,2.38,0.223,19.0,0.66,9.37,0.85,13.6,1.55,109.6
